时间, CPU使用率, 内存使用率
2026-02-27 13:42:05, 2.02%, 93.09%
2026-02-27 13:42:06, 2.28%, 93.07%
2026-02-27 13:42:07, 2.75%, 93.08%
2026-02-27 13:42:08, 2.51%, 93.08%
2026-02-27 13:42:09, 2.02%, 93.08%
2026-02-27 13:42:10, 2.77%, 93.08%
2026-02-27 13:42:11, 2.01%, 93.08%
2026-02-27 13:42:12, 2.52%, 93.09%
2026-02-27 13:42:13, 2.27%, 93.09%
2026-02-27 13:42:14, 1.77%, 93.09%
2026-02-27 13:42:15, 2.26%, 93.09%
2026-02-27 13:42:16, 2.02%, 93.09%
2026-02-27 13:42:17, 2.02%, 93.09%
2026-02-27 13:42:18, 2.29%, 93.09%
2026-02-27 13:42:19, 2.26%, 93.09%
2026-02-27 13:42:20, 2.01%, 93.10%
2026-02-27 13:42:21, 2.51%, 93.10%
2026-02-27 13:42:22, 2.27%, 93.10%
2026-02-27 13:42:23, 2.01%, 93.10%
2026-02-27 13:42:24, 2.27%, 93.10%
2026-02-27 13:42:25, 2.51%, 93.10%
2026-02-27 13:42:26, 2.27%, 93.10%
2026-02-27 13:42:27, 2.53%, 93.10%
2026-02-27 13:42:28, 2.76%, 93.10%
2026-02-27 13:42:29, 2.02%, 93.11%
2026-02-27 13:42:30, 3.52%, 93.11%
2026-02-27 13:42:31, 3.26%, 93.16%
2026-02-27 13:42:32, 2.26%, 93.16%
2026-02-27 13:42:33, 2.77%, 93.16%
2026-02-27 13:42:34, 1.77%, 93.16%
2026-02-27 13:42:35, 2.27%, 93.16%
2026-02-27 13:42:36, 2.77%, 93.16%
2026-02-27 13:42:37, 2.26%, 93.16%
2026-02-27 13:42:38, 2.02%, 93.16%
2026-02-27 13:42:39, 3.01%, 93.16%
2026-02-27 13:42:40, 2.27%, 93.16%
2026-02-27 13:42:41, 2.02%, 93.16%
2026-02-27 13:42:42, 2.78%, 93.17%
2026-02-27 13:42:43, 2.76%, 93.17%
2026-02-27 13:42:44, 2.02%, 93.17%
2026-02-27 13:42:45, 2.77%, 93.17%
2026-02-27 13:42:46, 3.27%, 93.17%
2026-02-27 13:42:47, 2.26%, 93.17%
2026-02-27 13:42:48, 2.78%, 93.07%
2026-02-27 13:42:49, 2.77%, 93.07%
2026-02-27 13:42:50, 2.27%, 93.07%
2026-02-27 13:42:51, 3.02%, 93.07%
2026-02-27 13:42:52, 2.52%, 93.07%
2026-02-27 13:42:53, 2.26%, 93.07%
2026-02-27 13:42:54, 2.52%, 93.07%
2026-02-27 13:42:55, 2.52%, 93.08%
2026-02-27 13:42:56, 2.01%, 93.08%
2026-02-27 13:42:57, 3.29%, 93.08%
2026-02-27 13:42:58, 2.26%, 93.08%
2026-02-27 13:42:59, 2.52%, 93.08%
2026-02-27 13:43:00, 3.02%, 93.08%
2026-02-27 13:43:01, 2.51%, 93.08%
2026-02-27 13:43:02, 2.02%, 93.08%
2026-02-27 13:43:03, 2.77%, 93.08%
